"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.59967750882421e-112,1.19596138748232,0.463,0.444,7.53448499371995e-108,"1","Srsf7"
2.45350015722625e-76,1.18839430916373,0.451,0.467,5.13542117909026e-72,"1","Madd"
5.92934165777942e-130,1.18290007206563,0.481,0.457,1.24107050238981e-125,"1","Frmd4b"
1.06386407580022e-06,1.17828700492522,0.094,0.118,0.0222677389705745,"1","Hsf2"
9.18821578720811e-159,1.17566705786598,0.524,0.501,1.92318544642053e-154,"1","Upf3b"
2.36619012849552e-195,1.17542942236962,0.555,0.539,4.95267255795396e-191,"1","Glmn"
1.53079083174229e-10,1.17473310393792,0.082,0.112,3.2040982899198e-06,"1","Polr3a"
0,1.17172475431384,0.918,0.83,0,"1","Mir124-2hg"
3.85178894065356e-40,1.17107399017113,0.314,0.285,8.06217943168197e-36,"1","Peg3"
1.53869935091856e-06,1.16096727599452,0.114,0.146,0.0322065161140764,"1","Pds5a"
2.99458081623127e-13,1.16012266345483,0.275,0.285,6.26795710645368e-09,"1","Ppargc1b"
1.38785115210446e-24,1.15645889121983,0.365,0.383,2.90491124646985e-20,"1","Arglu1"
2.8579793773902e-20,1.15501545606161,0.331,0.353,5.98203663481543e-16,"1","Zranb2"
1.71562833244122e-06,1.14845486736872,0.101,0.13,0.0359098166263273,"1","Ocrl"
7.08310711475222e-07,1.14597980863203,0.285,0.321,0.0148256515018879,"1","Dhx36"
1.68021788357167e-80,1.14528538587778,0.468,0.489,3.51686405210387e-76,"1","Dnm3"
6.17201741214489e-140,1.1433134929316,0.569,0.59,1.29186496453605e-135,"1","Samd11"
5.32230709058439e-09,1.14281457052099,0.087,0.117,0.000111401209713022,"1","Mphosph9"
8.21339498647028e-08,1.14016620326102,0.101,0.133,0.00171914570461809,"1","Tube1"
9.09335637854078e-101,1.13863954648426,0.468,0.449,1.90333042359237e-96,"1","Mat2a"
1.55418046356301e-06,1.13498905853254,0.091,0.116,0.0325305512828373,"1","Zfp157"
3.28790128043646e-78,1.13404373841243,0.468,0.492,6.88190617008154e-74,"1","Pdzph1"
1.38912911904345e-71,1.13329596424139,0.439,0.446,2.90758615906984e-67,"1","Cers4"
2.06105225447644e-13,1.12976545804347,0.309,0.336,4.31398847384463e-09,"1","Fubp1"
1.00382309959089e-09,1.12294028598384,0.084,0.114,2.10110212975369e-05,"1","Adamts3"
3.78355348783151e-35,1.12201395837499,0.357,0.368,7.91935580538014e-31,"1","N4bp2l2"
8.45129173774477e-07,1.12110926963772,0.108,0.139,0.0176893987362736,"1","Ranbp6"
4.83606363128683e-07,1.1200582194432,0.088,0.114,0.0101223647866465,"1","Gabpb2"
3.57726800130211e-08,1.11608885603176,0.097,0.125,0.000748757965352544,"1","C87436"
2.40911864978867e-11,1.11233348278559,0.314,0.35,5.04252624587267e-07,"1","Cacnb2"
1.30897608150093e-07,1.10713897724911,0.101,0.131,0.00273981783618959,"1","Gnl3"
5.17248128016104e-09,1.1037064864213,0.082,0.11,0.000108265205675051,"1","Rb1"
2.38873236678095e-12,1.10344143445106,0.104,0.144,4.99985571690921e-08,"1","Dcaf17"
2.52779513927967e-07,1.1008724885776,0.123,0.16,0.00529092800602629,"1","Arid3b"
3.19226579741186e-10,1.09889147479649,0.092,0.124,6.68173154056276e-06,"1","Gpatch2"
0,1.09770223740487,0.813,0.757,0,"1","Son"
4.47796573193322e-69,1.09766804942965,0.457,0.481,9.37283007350942e-65,"1","Ddx17"
3.40468568402838e-09,1.09744094694408,0.076,0.102,7.12634760523981e-05,"1","Stxbp5l"
6.53664439013848e-12,1.09363953230565,0.083,0.116,1.36818503729989e-07,"1","Uimc1"
5.77835961129518e-17,1.09342630625094,0.314,0.335,1.20946845024019e-12,"1","Eml5"
2.67580369716829e-07,1.0926005759537,0.079,0.103,0.00560072471854295,"1","Zfyve27"
2.09147012365465e-51,1.09213209848901,0.418,0.44,4.37765611582155e-47,"1","Stard7"
5.77587388829769e-13,1.08542387031965,0.076,0.108,1.20894816355959e-08,"1","2810004N23Rik"
7.1301830975536e-09,1.08476005542003,0.296,0.326,0.000149241862414894,"1","Crlf3"
1.38378375461683e-88,1.07982870534291,0.467,0.475,2.89639777678849e-84,"1","Srpk2"
6.10845683046417e-14,1.07313118693664,0.085,0.12,1.27856109918446e-09,"1","Zfyve16"
6.47457196314806e-10,1.07291916544613,0.076,0.103,1.35519265760652e-05,"1","Dnm2"
