"resolution","actual_k","method"
0.0365833818712961,13,"PCA + Louvain"
0.0375581880412043,13,"PCA + Louvain"
0.0385589690395807,14,"PCA + Louvain"
0.0395864169955222,13,"PCA + Louvain"
0.0406412424806989,15,"PCA + Louvain"
0.0417241750007787,15,"PCA + Louvain"
0.0428359634999444,15,"PCA + Louvain"
0.0439773768788555,15,"PCA + Louvain"
0.0451492045264117,16,"PCA + Louvain"
0.0463522568656852,16,"PCA + Louvain"
0.0475873659144004,15,"PCA + Louvain"
0.0488553858603486,16,"PCA + Louvain"
0.0501571936521341,16,"PCA + Louvain"
0.0514936896056629,16,"PCA + Louvain"
0.0528657980267908,16,"PCA + Louvain"
0.0542744678505633,15,"PCA + Louvain"
0.0557206732974886,15,"PCA + Louvain"
0.0572054145472979,15,"PCA + Louvain"
0.0587297184306581,15,"PCA + Louvain"
0.0602946391393175,16,"PCA + Louvain"
0.0619012589551721,16,"PCA + Louvain"
0.0635506889987607,15,"PCA + Louvain"
0.0652440699977034,15,"PCA + Louvain"
0.0669825730756157,16,"PCA + Louvain"
0.0687674005620453,16,"PCA + Louvain"
0.07059978682399,16,"PCA + Louvain"
0.0724809991195715,16,"PCA + Louvain"
0.0744123384744579,16,"PCA + Louvain"
0.0763951405816388,16,"PCA + Louvain"
0.0784307767251749,16,"PCA + Louvain"
0.0805206547285639,16,"PCA + Louvain"
0.0826662199283752,16,"PCA + Louvain"
0.0848689561738288,16,"PCA + Louvain"
0.0871303868530093,16,"PCA + Louvain"
0.0894520759464239,17,"PCA + Louvain"
0.0918356291086343,17,"PCA + Louvain"
0.0942826947787098,16,"PCA + Louvain"
0.0967949653202689,18,"PCA + Louvain"
0.0993741781919005,18,"PCA + Louvain"
0.10202211714877,18,"PCA + Louvain"
0.104740613476244,17,"PCA + Louvain"
0.107531547256392,17,"PCA + Louvain"
0.110396848668221,18,"PCA + Louvain"
0.113338499322576,18,"PCA + Louvain"
0.116358533632594,18,"PCA + Louvain"
0.119459040220683,17,"PCA + Louvain"
0.122642163362991,18,"PCA + Louvain"
0.125910104472366,18,"PCA + Louvain"
0.129265123620821,19,"PCA + Louvain"
0.132709541102585,17,"PCA + Louvain"
0.136245739038785,19,"PCA + Louvain"
0.139876163024899,20,"PCA + Louvain"
0.143603323822102,20,"PCA + Louvain"
0.147429799093677,20,"PCA + Louvain"
0.151358235187706,20,"PCA + Louvain"
0.15539134896725,20,"PCA + Louvain"
0.159531929689299,21,"PCA + Louvain"
0.163782840933798,21,"PCA + Louvain"
0.168147022584064,21,"PCA + Louvain"
0.172627492859975,21,"PCA + Louvain"
0.177227350405342,21,"PCA + Louvain"
0.181949776430891,21,"PCA + Louvain"
0.18679803691436,22,"PCA + Louvain"
0.191775484859208,22,"PCA + Louvain"
0.196885562613517,23,"PCA + Louvain"
0.202131804250683,22,"PCA + Louvain"
0.207517838013539,23,"PCA + Louvain"
0.213047388823612,23,"PCA + Louvain"
0.218724280857234,23,"PCA + Louvain"
0.224552440190302,22,"PCA + Louvain"
0.230535897513508,22,"PCA + Louvain"
0.236678790919923,23,"PCA + Louvain"
0.242985368766849,23,"PCA + Louvain"
0.249459992613947,23,"PCA + Louvain"
0.256107140239633,24,"PCA + Louvain"
0.262931408737867,25,"PCA + Louvain"
0.269937517697451,26,"PCA + Louvain"
0.277130312466041,26,"PCA + Louvain"
0.284514767501142,26,"PCA + Louvain"
0.292095989810383,26,"PCA + Louvain"
0.299879222483468,26,"PCA + Louvain"
0.307869848318242,27,"PCA + Louvain"
0.316073393543372,26,"PCA + Louvain"
0.324495531640224,27,"PCA + Louvain"
0.333142087266584,26,"PCA + Louvain"
0.342019040284928,28,"PCA + Louvain"
0.35113252989802,28,"PCA + Louvain"
0.36048885889473,28,"PCA + Louvain"
0.370094498008961,28,"PCA + Louvain"
0.379956090394746,28,"PCA + Louvain"
0.390080456220576,28,"PCA + Louvain"
0.400474597386153,28,"PCA + Louvain"
0.411145702364828,29,"PCA + Louvain"
0.42210115117507,29,"PCA + Louvain"
0.433348520484403,29,"PCA + Louvain"
0.44489558884935,29,"PCA + Louvain"
0.456750342094994,29,"PCA + Louvain"
0.468920978837882,29,"PCA + Louvain"
0.481415916156109,31,"PCA + Louvain"
0.494243795410466,31,"PCA + Louvain"
0.507413488220715,31,"PCA + Louvain"
0.520934102601103,33,"PCA + Louvain"
0.53481498925936,34,"PCA + Louvain"
